tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,34892,7324,9005665,145305,2017-08-01 16:23:56+00:00
892177421306343426,30220,5468,9005665,145305,2017-08-01 00:17:27+00:00
891815181378084864,22749,3616,9005665,145305,2017-07-31 00:18:03+00:00
891689557279858688,38135,7509,9005665,145305,2017-07-30 15:58:51+00:00
891327558926688256,36411,8076,9005665,145305,2017-07-29 16:00:24+00:00
891087950875897856,18375,2706,9005665,145305,2017-07-29 00:08:17+00:00
890971913173991426,10683,1750,9005665,145305,2017-07-28 16:27:12+00:00
890729181411237888,58749,16432,9005665,145305,2017-07-28 00:22:40+00:00
890609185150312448,25295,3758,9005665,145305,2017-07-27 16:25:51+00:00
890240255349198849,28860,6353,9005665,145305,2017-07-26 15:59:51+00:00
890006608113172480,27848,6386,9005665,145305,2017-07-26 00:31:25+00:00
889880896479866881,25321,4330,9005665,145305,2017-07-25 16:11:53+00:00
889665388333682689,43427,8699,9005665,145305,2017-07-25 01:55:32+00:00
889638837579907072,24406,3883,9005665,145305,2017-07-25 00:10:02+00:00
889531135344209921,13757,1961,9005665,145305,2017-07-24 17:02:04+00:00
889278841981685760,22784,4629,9005665,145305,2017-07-24 00:19:32+00:00
888917238123831296,26382,3896,9005665,145305,2017-07-23 00:22:39+00:00
888804989199671297,23155,3692,9005665,145305,2017-07-22 16:56:37+00:00
888554962724278272,17864,3000,9005665,145305,2017-07-22 00:23:06+00:00
888078434458587136,19752,3026,9005665,145305,2017-07-20 16:49:33+00:00
887705289381826560,27464,4701,9005665,145305,2017-07-19 16:06:48+00:00
887517139158093824,42002,10232,9005665,145305,2017-07-19 03:39:09+00:00
887473957103951883,62138,15641,9005665,145305,2017-07-19 00:47:34+00:00
887343217045368832,30484,9169,9005665,145305,2017-07-18 16:08:03+00:00
887101392804085760,27804,5193,9005665,145305,2017-07-18 00:07:08+00:00
886983233522544640,31485,6642,9005665,145305,2017-07-17 16:17:36+00:00
886736880519319552,10825,2757,9005665,145305,2017-07-16 23:58:41+00:00
886680336477933568,20385,3898,9005665,145305,2017-07-16 20:14:00+00:00
886366144734445568,19143,2751,9005665,145305,2017-07-15 23:25:31+00:00
886267009285017600,107,3,9005665,145305,2017-07-15 16:51:35+00:00
886258384151887873,25341,5501,9005665,145305,2017-07-15 16:17:19+00:00
886054160059072513,0,96,9005665,145305,2017-07-15 02:45:48+00:00
885984800019947520,29507,5846,9005665,145305,2017-07-14 22:10:11+00:00
885528943205470208,32585,5563,9005665,145305,2017-07-13 15:58:47+00:00
885518971528720385,18574,3248,9005329,145299,2017-07-13 15:19:09+00:00
885311592912609280,0,16080,9005665,145305,2017-07-13 01:35:06+00:00
885167619883638784,19825,3807,9005665,145305,2017-07-12 16:03:00+00:00
884925521741709313,69544,15696,9005665,145305,2017-07-12 00:01:00+00:00
884876753390489601,25195,4862,9005665,145305,2017-07-11 20:47:12+00:00
884562892145688576,22013,4083,9005665,145305,2017-07-11 00:00:02+00:00
884441805382717440,24594,4964,9005665,145305,2017-07-10 15:58:53+00:00
884247878851493888,65540,17659,9005665,145305,2017-07-10 03:08:17+00:00
884162670584377345,18491,2605,9005665,145305,2017-07-09 21:29:42+00:00
883838122936631299,19789,2977,9005665,145305,2017-07-09 00:00:04+00:00
883482846933004288,41506,8605,9005665,145305,2017-07-08 00:28:19+00:00
883360690899218434,20558,3203,9005665,145305,2017-07-07 16:22:55+00:00
883117836046086144,33592,5770,9005665,145305,2017-07-07 00:17:54+00:00
882992080364220416,21646,3374,9005665,145305,2017-07-06 15:58:11+00:00
882762694511734784,25594,4256,9005665,145305,2017-07-06 00:46:41+00:00
882627270321602560,25408,5276,9005665,145305,2017-07-05 15:48:34+00:00
882268110199369728,40550,10072,9005329,145299,2017-07-04 16:01:23+00:00
882045870035918850,26549,4231,9005665,145305,2017-07-04 01:18:17+00:00
881906580714921986,22103,2964,9005665,145305,2017-07-03 16:04:48+00:00
881666595344535552,45954,9298,9005665,145305,2017-07-03 00:11:11+00:00
881633300179243008,113,8,9005665,145305,2017-07-02 21:58:53+00:00
881536004380872706,44834,13943,9005665,145305,2017-07-02 15:32:16+00:00
881268444196462592,21120,4634,9005665,145305,2017-07-01 21:49:04+00:00
880935762899988482,15515,2434,9005665,145305,2017-06-30 23:47:07+00:00
880872448815771648,19315,3326,9005665,145305,2017-06-30 19:35:32+00:00
880465832366813184,25778,5421,9005665,145305,2017-06-29 16:39:47+00:00
880221127280381952,24429,3615,9005665,145305,2017-06-29 00:27:25+00:00
880095782870896641,25063,3785,9005665,145305,2017-06-28 16:09:20+00:00
879862464715927552,20319,3036,9005665,145305,2017-06-28 00:42:13+00:00
879674319642796034,286,10,9005665,145305,2017-06-27 12:14:36+00:00
879492040517615616,21335,2758,9005666,145305,2017-06-27 00:10:17+00:00
879415818425184262,95848,38883,9005666,145305,2017-06-26 19:07:24+00:00
879376492567855104,15302,2737,9005667,145305,2017-06-26 16:31:08+00:00
879130579576475649,0,5956,9005667,145305,2017-06-26 00:13:58+00:00
879050749262655488,20458,4115,9005667,145305,2017-06-25 18:56:45+00:00
879008229531029506,17256,2338,9005667,145305,2017-06-25 16:07:47+00:00
878776093423087618,17624,3586,9005667,145305,2017-06-25 00:45:22+00:00
878604707211726852,27274,6170,9005667,145305,2017-06-24 13:24:20+00:00
878404777348136964,0,1112,9005667,145305,2017-06-24 00:09:53+00:00
878316110768087041,0,5772,9005667,145305,2017-06-23 18:17:33+00:00
878281511006478336,7009,1112,9005667,145305,2017-06-23 16:00:04+00:00
